Market,Code,Company Name,Place of Incorporation of Foreign Companies,Industry,Symbol,Date of Listing,Chairman,General Manager,Spokesman,Title of Spokesman,Fiscal Year_end,Accounting Firm,CPA (Chartered Public Accountant)1,CPA (Chartered Public Accountant)2,Address,Telephone,Fax,Email Address,Web Address,Investor Relations Contact Person,Title of IR Contact Person,Telephone of IR Contact Person,Email Address of IR Contact Person
TPEx Listed Company,1569,"Bin Chuan Enterprise Co., Ltd.",－,Computer and Peripheral Equipment,Bin Chuan,2005/07/29,HSIAO CHIN-MING,HSIAO CHIN-CHUN,LEE FAN,Vice General Manager,DEC 31,Deloitte & Touche,Liu Yu Shiang,Hsu Jui Hsuan,2 Shing Yeh Road Ta-fa Industrial Zone Koahsiung Taiwan R.O.C,07-7871521,07-7871515,fan_lee@hamagawa.com,https://www.hamagawa.com.tw/,LEE FAN,Vice General Manager,07-7871521分機16,investors@hamagawa.com
TPEx Listed Company,1570,De Poan Pneumatic Corp.,－,Electric Machinery,De Poan,2005/06/30,Wen Ming-Han,Wen Ming-Han,Wen Ming-Han,President,DEC 31,Deloitte & Touche,"Gong, Ze-Li","Fang, Han-Ni","NO.81, MUSEUM ROAD Ba-Li District, New Taipei City, Taiwan",(02)2619-5619,(02)2619-5618,mops@depoan.com,www.depoan.com,Grace Wu,Assistant Vice President,(02)2619-5619,mops@depoan.com
TPEx Listed Company,1580,SINMAG EQUIPMENT CORPORATION,－,Electric Machinery,SINMAG,2007/12/10,HSIEH SHUN HO,HSIEH SHUN HO,HSIAO SHU CHUAN,Vice President,DEC 31,DELOITTE TOUCHE TOHMATSU LIMITED,CHANG KENG HSI,LIU LI WEI,"No.23, Wuquan 6th Rd., Wugu Dist. New Taipei City , Taiwan (R.O.C.)",02-22981148,02-22981718,sinmag.tw@sinmag.com.tw,www.sinmag.com.tw,HSIAO SHU CHUAN,Vice President,02-22981148,sinmag.tw@sinmag.com.tw
TPEx Listed Company,1584,S-Tech Corp,－,Other,STC,2007/11/28,Joseph Wang,Jacky Chiu (deputy),Jacky Chiu,CEO,DEC 31,PricewaterhouseCoopers Taiwan,Chung-yu Tien,Hui-Yu Hsu,"No.15,Gong 1st Road, Da Nong Village, Liouying Township, Tain",06-6235143,06-6233311,http://www.s-tech.com.tw,http://www.s-tech.com.tw,crystal.lin,Deputy Assistant V.P.,06-6235143,crystal.lin@s-tech.com.tw
TPEx Listed Company,1586,"CHINA FINEBLANKING TECHNOLOGY CO., LTD.",－,Electric Machinery,CFTC,2012/01/09,"LIN, HUI-ZHENG",Christina Cheng,Christina Cheng,General manager,DEC 31,KPMG,"KAO,YU-LUN","CHEN,CHUNG-CHE","No. 40, Xinggong Rd., Shengang Township, Changhua County 509, Taiwan (R.O.C.)",04-7980339,04-7980329,cftc.service@cftc-hc.com.tw,http://www.cftc.tw,Christina Cheng,General manager,04-7980339,spokesman@cftc.tw
TPEx Listed Company,1591,"Inmax Holding Co., Ltd.",Cayman Islands,Electric Machinery,INMAX,2012/03/23,"LONG LIFE NUTRACEUTICAL INT'L CO., LTD.",HU TE LI,Max Chen,Chairman of the Subsidiar,DEC 31,Ernst & Young,Charlie Hsieh,Lin Shih-Huan,"7F., No. 3, Sec. 5, Nanjing E. Rd., Songshan Dist. Taipei City 105409 , Taiwan (R.O.C.)",02-77097667,02-27602877,ky1591@inmax-fasteners.com,http://inmaxholding.com/,Max Chen,Chairman of the Subsidiar,02-77097667,ky1591@inmax-fasteners.com
TPEx Listed Company,1593,"CHI HUA FITNESS CO.,LTD.",－,Sports and Leisure,CHI HUA,2012/06/13,"LEE,CHIA- JUNG","LEE,CHIA- JUNG","HUANG,NING - MING",Finance Department Assistant Vice President,DEC 31,Deloitte,Chiu Yung-Ming,Chang Chih-Yi,"No. 231 , Dexing Rd. HuKou Township , Hsinchu County,Taiwan",03-6992860,03-5906393,ir@chihua.com.tw,http://www.chihua.com.tw,"HUANG,NING - MING",Finance Department Vice President,03-6992860#260,ir@chihua.com.tw
TPEx Listed Company,1595,"Chime Ball Technology Co.,Ltd.",－,Electronic Parts/Components,CBT,2011/10/04,"Chang,Hung-Ming","Tseng,Wei-Lun","Chien,Li-Chen",Associate General Manager,DEC 31,Deloitte&Touche,"Fang, Welson","Chang, Kent","No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist., Taoyuan City 338, Taiwan",03-3249948,03-3249968,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/,"Chien,Li-Chen",Associate General Manager,03-3249948#818,spokesman@cbtech.com.tw
TPEx Listed Company,1599,"AEON MOTOR CO.,LTD.",－,Electric Machinery,AEON,2012/12/25,CHUNG CHIEH LIN,CHUNG CHIEH LIN,LIN CHIA HUI,manager,DEC 31,PRICEWATERHOUSE COOPERS TAIWAN,Phoebe Lin,Fang Ting Yeh,"No.41,Nanzhou,Shanshang Dist., Tainan City 74342,Taiwan(R.O.C.)",06-5783988,06-5783136,aeon@aeonmotor.com.tw,www.aeonmotor.com,LIN CHIA HUI,manager,06-5783988,aeon@aeonmotor.com.tw
TPEx Listed Company,1742,"TAIWAN WAX COMPANY,LTD.",－,Chemical,TWC,2004/05/14,Sen-Xiang Chiu,,Po Yao Tseng,Financial Supervisor,DEC 31,BENI SON,LIN YU YA,QIU YI ZHI,"1,CHUNG CHENG ROAD,MINHSIUNG INDUSTRIAL PARK CHIAYI TAIWAN REP.OF CHINA",05-2219180,05-2130645,twx6688@ms26.hinet.net,http://www.wax.com.tw/,Po Yao Tseng,Financial Supervisor,03-3163816,paul.tseng@wax.com.tw
TPEx Listed Company,1777,"SYN-TECH CHEM. & PHARM. CO., LTD.",－,Biotechnology and Medical Care,SYN-TECH,2005/10/19,"HSIAO, CHEN-MING","HUNG, CHUN-CHEN","HSIAO, CHEN-MING",Chairperson,DEC 31,PRICEWATERHOUSECOOPERS,"Yeh, Fang-Ting","Hsu, Hui Yu","No.168 Kai Yuan Rd., Hsin Ying District Tainan City 73055, Taiwan, R.O.C",06-6362121~3,06-6351165,fc3@syn-tech.com.tw,https://www.syn-tech.com.tw,"HSIAO, CHEN-MING",Chairperson,06-6362121~3,investor.relation@syn-tech.com.tw
TPEx Listed Company,1781,"HEALTH&LIFE CO.,LTD.",－,Biotechnology and Medical Care,H&L,2004/12/24,Paul Yang,Albert Lee,Tina Lee,Division Director,DEC 31,Pricewaterhouse Coopers,"CHOU, HSIAO-TZU","LIN, KUAN-HUNG","9F.NO.186 Jian Yi Road Chung Ho City Taipei,Taiwan",82271300,82271301,public@hlmt.com.tw,www.healthandlife.com.tw,Tina Lee,Division Director,82271300*18811,public@hlmt.com.tw
TPEx Listed Company,1784,BIONET CORP.,－,Biotechnology and Medical Care,BIONET CORP.,2007/07/26,Christopher Tsai,Michael Kang,Michael Kang,President,DEC 31,PRICE WATER HOUSE COOPERS,"Huang, Pei-chuan",David Teng,"1F,No.28, Ln. 36 , Xinhu 1st Rd. Neihu Dist.,Taipei City 11497, , Taiwan",(02)27951777,(02)27938009,investment@BionetCorp.com,http://www.BionetCorp.com,David Yu,"Project Manager, Finance Department",(02)27951777,davidyu@BionetCorp.com
TPEx Listed Company,1785,Solar Applied Materials Technology Corp.,－,Other Electronic,Solar,2005/01/31,"HUANG, CHII-FENG",HUANG CHII-FENG,"HUANG, CHII-FENG",General Manager,DEC 31,Deloitte Touche Tohmatsu Limited,"Yang, Chao-Chin","Lee, Chi-Chen","No.1, Gongye 3rd Rd., Annan Dist, Tainan City 70955, Taiwan (R.O.C.)",06-5110123,06-3843216,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/index.html,Maggie Chin,Manager,06-5110123,shareholders@solartech.com.tw
TPEx Listed Company,1788,Hi-Clearance Inc.,－,Biotechnology and Medical Care,HCI,2009/07/20,"LEE, CHUNG-LIANG",CHEN KUO SHIH,"LEE, YING-FEN",MANAGER OF FINANCIAL DEPT.,DEC 31,KPMG CPAs,"Shu-Chih,Yang","Shyh-Gang,Horng","8F.2,NO.2,Ln.609,Sec.5,Chongxin Rd.,Sanchong Dist.,New Taipei City 24159,Taiwa R.O.C.",6626-1166,2995-3363,jerry_pon108@hiclearance.com.tw,www.hiclearance.com.tw,"LEE, YING-FEN",MANAGER OF FINANCIAL DEPT.,6626-1166#510,nancy_lee@hiclearance.com.tw
TPEx Listed Company,1796,"GeneFerm Biotechnology Co.,Ltd.",－,Food,GeneFerm,2018/01/22,Grance Chang,"Jinn-Der , Jin",Frank Hsiao,Vice General Manager,DEC 31,PRICE WATER HOUSE COOPERS,"Hsu, Huei-Yu","Lin, Hsiu-Shan","No.33,Shin-Kung Rd Shinying City,Tainan County,Taiwan",06-5109001,06-5055750,geneferm@geneferm.com,http://www.geneferm.com,Julia Su,Manager,06-5109001,investor@geneferm.com
TPEx Listed Company,1799,"EASYWELL BIOMEDICALS, INC.",－,Biotechnology and Medical Care,EASYWELL,2008/11/10,"Lin, Han-Fei",James Aiping Lee,"Wu, Hsueh-Chun",CFO,DEC 31,PricewaterhouseCoopers Taiwan,Chien-Yu Liu,Ya-Huei Cheng,"1F., No.10, Yanfa 2nd Road, Hsinchu Science Park HsinChu 30076, TAIWAN(R.O.C)",(03)666-9596,(03)666-9697,spokesman@easywellbio.com,http://www.easywellbio.com,"Wu, Hsueh-Chun",CFO,03-6669596,spokesman@easywellbio.com
TPEx Listed Company,1813,"Polylite Taiwan Co., Ltd.",－,Biotechnology and Medical Care,Polylite,2009/08/04,Adam Soong,Ninon Ni,Ninon Ni,General Manager,DEC 31,Deloitte & Touche,Sean Chao,Nik Chen,"No. 406, Changfa Rd., Dayuan Dist. Taoyuan City 33759, Taiwan R.O.C.",03-3853934,03-3863837,info@gialens.com.tw,http://www.gialens.com.tw,Ninon Ni,General Manager,03-3853934,ninonni@gialens.com.tw
TPEx Listed Company,1815,FULLTECH FIBER GLASS CORP.,－,Electronic Parts/Components,FFG,2006/01/23,"CHANG, YUAN-PIN","CHERN, BIH-CHERNG","HU, MING-LUN",Assistant Vice President,DEC 31,DELOITTE TOUCHE TOHMATSU,Chien-Liang Liu,Yi-Wen Wang,"NO8.Dou Kong 16 Road Dou Leu City,Taiwan.",02-27357658,02-27357698,fulltech@ffg.com.tw,http://www.ffg.com.tw,"HU, MING-LUN",Assistant Vice President,2735-7658,lester@ffg.com.tw
TPEx Listed Company,2035,"Tang Eng Iron Works Co., Ltd.",－,Iron and Steel,TE,2006/07/07,Chao Jian Tsai,Zhou Ming Hong,Liu Yue Qian,Deputy General Manager of Management Departm,DEC 31,KPMG,"HUANG,XIN-TING",Han Yi Lian,"No.4, Yen Hai 2nd Rd., Hsiao Kang ., Kaohsiung City,Taiwan ROC",07-8022811,07-8010801,nty@mail.tangeng.com.tw,http://www.tangeng.com.tw,NI TUAN YI,Administrator,02-23709199,nty@mail.tangeng.com.tw
TPEx Listed Company,2061,FENG CHING METAL CORPORATION,－,Electrical and Cable,FENG CHING,2010/12/09,Chen Hsin-Yu,Chen Hsin-Yu,Tsai Yu-Hsien,Manager,DEC 31,PricewaterhouseCoopers,Chien Chih Wu,Charles W Wang,"30F.-4, No. 38, Xinguang Rd., Lingya Dist., Kaohsiung City 802, Taiwan (R.O.C.)",07-2693339,07-2693515,r7873942@ms23.hinet.net,http://www.fcm.com.tw,Tsai Yu-Hsien,Manager,07-2693339,hsien727@fcm.com.tw
TPEx Listed Company,2063,"SHEH KAI PRECISION CO.,LTD",－,Iron and Steel,SHEH KAI,2010/09/07,"TU,TAI YUAN","CHEN,JUN-YAN","CHENG,SHOU CHIEH",vice president,DEC 31,Deloitte & Touche,"SYU,KAI-NING",Kuo Lee Yuan,"NO.1, Ben Gong 1st Rd., Ben Chou Industrial Park, Kangshan Town Kaohsiung82059, Taiwan",07-6225669,07-6230964,roger@shehkai.com.tw,www.shehkai.com.tw,"CHENG,SHOU CHIEH",vice president,07-6225669,roger@shehkai.com.tw
TPEx Listed Company,2064,"CAMELLIA METAL CO.,LTD.",－,Iron and Steel,CAMELLIA,2014/12/26,Edward Chen,Hsia,Edward Chen,Chairman of the board,DEC 31,KPMG,Stella Huang,Max Wu,"No.24, Lugong Rd., Chang Bin Industrial Park Lugang Town, Chang Hua County , Taiwan",04-7810000,04-7810099,cametal.taiwan@msa.hinet.net,http://www.camelliametal.com,Edward,Chairman of the board,04-7810000,edward@camelliametal.com
TPEx Listed Company,2065,"Sheh Fung Screws Co.,Ltd",－,Iron and Steel,SF,2017/04/21,Terry Tu,Kent Chen,Chen Hsiu Chu,Vice General Manager,DEC 31,KPMG,"SU, YEN-DA","XU,ZHEN-LONG","No.810, Fuxing W. Rd. Kaohsiung City 82547, Taiwan (R.O.C.)",07-6116116,07-6197589,investor@shehfung.com,www.shehfung.com,Chen Hsiu Chu,Vice General Manager,07-6116116,investor@shehfung.com
TPEx Listed Company,2066,"Sumeeko Industries Co., Ltd.",－,Electric Machinery,SUMEEKO,2013/09/24,Alex Chen,"Schermbach, Martin Alexander",Eva Chen,Chief Finance Officer,DEC 31,KPMG,"Yung-Hsiang, Chen","Cheng-Lung, Hsu","No.20,HuaxiRd.,Ta-Fa Industrial Dist. Kaohsiung County 831 Taiwan,R.O.C.",07-7889168,07-7887868,invest@sumeeko.com,www.sumeeko.com,Eva Chen,Chief Finance Officer,07-7889168,invest@sumeeko.com
TPEx Listed Company,2067,"CHIA YI STEEL CO., LTD",－,Electric Machinery,CYSTEEL,2014/05/26,Eric Tsao,CHEN LUNG FANG,Chen Lung Fang,General Manager,DEC 31,Crowe (TW) CPAs,Lee Kuo Ming,Hsieh Jen Yao,"21 Chenggong 2nd St. Minxiong Township, Chia Yi County, Taiwan",(05)2211411,(05)2208033,abby@cysteel.com.tw,http://www.cysteel.com.tw/,Chen Lung Fang,General Manager,(05)2211411,jacky.chen@cysteel.com.tw
TPEx Listed Company,2070,"Ching Chan Optical Technology Co., Ltd.",－,Electric Machinery,Ching Chan,2018/12/17,Alex Wu,HUNG AN HSU,HUNG AN HSU,General Manager,DEC 31,PricewaterhouseCoopers Taiwan,Lin Hsiu Shan,Fang Ting Yeh,"No. 58,Lane 110,Zhongxiao St.,Hu-Nei Dist., Kaohsiung City 82945,Taiwan Kaohsiung 82945, Taiwan",07-6937937,07-6937772,ccm@ccm3s.com,http://www.ccm3s.com/,HUNG AN HSU,General Manager,07-6937937,ccm@ccm3s.com
TPEx Listed Company,2073,"Syong Shun Metal CO., Ltd.",－,Iron and Steel,SSMC,2023/06/21,CHEN CHI HSIANG,CHEN CHI HSIANG,LIN SHANG WEN,Vice President,DEC 31,Deloitte & Touche,"LIU,YU-XIANG","HSU, KAI-NING","No. 393, Shun'an Rd., Luzhu Dist., Kaohsiung City 821010, Taiwan",07-6960166,07-6968123,ir@ssmc.com.tw,www.ssmc.com.tw,YEN CHUNG YU,Accounting Manager,07-6960166,ir@ssmc.com.tw
TPEx Listed Company,2221,"Tachia Yung Ho Machine Industry Co., Ltd.",－,Other,DAJA、YHMCO,2007/08/01,Shih-Feng Hang,Chih-Ching Chung,Chih-Ching Chung,General Manager,DEC 31,Deloitte & Touche,Shu-Chin Chiang,Li-Wei Liu,"No.69 ,Yu-Shih Rd., Dajia Dist. Taichung City 437, Taiwan",04-26815496,04-26815456,yhmco@yhmco.com.tw,http://www.yhmco.com.tw/,Chih-Ching Chung,General Manager,04-36000080,elian@yhmco.com.tw
TPEx Listed Company,2230,"C.T.I. TRAFFIC INDUSTRIES CO.,LTD.",－,Electric Machinery,C.T.I.,2013/04/18,"LEU, WANN-SHYAN","LU ,WAN-CHIEH",LU WAN-CHIEH,GENERAL MANAGER,DEC 31,DELOITTE &TOUCHE,"Liao, Lou",WANG TENG WEI,"10 Shih Chien Street Kuan Tien Industrial Park Tainan City 720, Taiwan (R.O.C.)",06-6991235,06-6990675,cti@ctico.com.tw,http://www.ctico.com.tw/,WU MEILING,Financial Manager,06-6991235#210,cti-30@ctico.com.tw
TPEx Listed Company,2235,"I YUAN PRECISION INDUSTRIAL CO., LTD.",－,Electric Machinery,I YUAN,2014/12/15,WU CHIEH SHIH,WU CHIEH SHIH,Wang Yu-Hsuan,Spokeswoman,DEC 31,Ernst & Young,Yu-Ju Li,"Wang, Hsuan-Hsuan","No.24,Dinghu Rd.,Guishan Township Taoyuan County,Taiwan(R.O.C.)",(03)3973868,(03)3973199,florence@tiy-motor.com.tw,www.tiy-motor.com,CHANG FANG MING,CFO,(03)3973868,florence@tiy-motor.com.tw
TPEx Listed Company,2596,ReaLy Development & Construction Corp.,－,Building Material and Construction,ReaLy,2009/06/01,Tennyxon Sheu,Tennyxon Sheu,Patrick Hsu,Special Assistant,DEC 31,KPMG Certified Public Accountants,Ya-Ling Chen,Chia-Chien Tang,"2F,NO.69,CIVIL BOULEVARD, Sec.5 Taipei, Taiwan, R.O.C.",(02)8787-8096,(02)8787-3416,services@realycorp.com.tw,www.realycorp.com.tw,Patrick Hsu,Special Assistant,(02)8787-8096,patrickh@realycorp.com.tw
TPEx Listed Company,2640,"Taiwan Taxi Co., Ltd",－,Digital and Cloud Services,55688,2012/11/07,Gary Lin,Hero Yang,Tracy Lin,CEO,DEC 31,PricewaterhouseCoopers Taiwan,Gary Chih,Steven Tu,"2F., No.162, Sec. 2, Chang’an E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25160966,02-25160900,ir@taiwantaxi.com.tw,www.taiwantaxi.com.tw,Tracy Lin,CEO,02-25160966,ir@taiwantaxi.com.tw
TPEx Listed Company,2641,Franbo Lines Corp.,－,Shipping and Transportation,Franbo Lines,2014/10/09,Tsai Pang Chuan,Tsai Pang Chuan,Wilson Lin,Vice President,DEC 31,PricewaterhouseCoopers(PwC),Charles Wang,A Shen Liao,"3F, No.31, Haibian Rd., Lingya Dist., Kaohsiung City 802, Taiwan (R.O.C.)",07-9697988,07-9697997,kevincheng@franbo.com.tw,www.franbo.com.tw,Wilson Lin,Vice President,07-9697988,kevincheng@franbo.com.tw
TPEx Listed Company,2643,"Soonest Express Co., Ltd.",－,Shipping and Transportation,Soonest,2016/03/04,"Ku, Cheng-Ming","Sun, Kang-Ying","Yeh, Tzu-ching",Vice President,DEC 31,Deloitte & Touche,"Huang, Hai-Yueh","Liu, Li-Wei","4F, NO. 34, Rui Guang Rd., Taipei, 11491 Taiwan, R. O. C.",(02)8792-9897,(02)8792-9658,soonestinv@soonest.com.tw,http://www.soonest.com,"Yeh, Tzu-ching",Vice President,(02)8792-9461,soonestinv@soonest.com.tw
TPEx Listed Company,2718,Allmind Holdings Corporation.,－,Building Material and Construction,Allmind,2011/03/29,Yang Xianling,Liu Chiehchih,Liu Chiehchih,general manager,DEC 31,PricewaterhouseCoopers,Philine Lee,Patrick Hsu,"7F., No. 30, Sec. 3, Bade Rd., Songshan Dist. Taipei City , Taiwan",02-2570-8800,02-2570-9911,tiffany.sha@allmindholdings.com.tw,www.allmindholdings.com.tw,Liu Chiehchih,general manager,02-2570-8800 #611,jaycee.liu@allmindholdings.com.tw
TPEx Listed Company,2719,TSG Star Travel Corp.,－,Tourism and Hospitality,Star Travel,2012/02/24,Yu-Lin Hou,Hsueh-Ying Yeh,Chun-Ying Luo,Vice General Manager,DEC 31,PwC Taiwan,Chung-yu Tien,Hsiu-shan lin,"7F., No. 161、163, Sec. 2, Minsheng E. Rd., Zhongshan Dist. Taipei City, Taiwan",(02)8183-3888,(02)2796-6168,-,www.startravel.com.tw,,,,
TPEx Listed Company,2724,Architectural Aesthetics Global Development,Cayman Islands,Other,AAGD-KY,2012/05/29,"Lai,Yun-Hsin","Lai,Yun-Hsin","Lai, Yun-Hsin",Chairman,DEC 31,KPMG Certifide Public Accountants,"Chih,Shih Chin","Huang,Hsin Ting","13F.-6, No. 111, Huajiang 1st Rd., Banqiao Dist., New Taipei City 220, Taiwan (R.O.C.)",(02)2999-5968,(02)2254-6872,investors@aagd.com.tw,https://www.aagd.com.tw/,"Lai, Yun-Hsin",General Manager,(02)2999-5968,investors@aagd.com.tw
TPEx Listed Company,2726,Yummy Town (Cayman) Holdings Corporation,Cayman Islands,Tourism and Hospitality,Yummy Town,2014/12/24,Wu Po Chao,Chiang Hsi I,Chiang Hsi I,General Manager,DEC 31,Deloitte Touche,CHANG CHIH-YI,Hong-Kuo-Tyan,"Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208, Cayman Cayman Island",(02)2790-0689,(02)2790-0601,affairs@yummy-town.com,http://www.yummy-town.tw/,Chiang Hsi I,General Manager,(02)7721-2726,affairs@yummy-town.com
TPEx Listed Company,2729,TTFB COMPANY LIMITED,－,Tourism and Hospitality,TTFB,2012/09/17,"Hsu, Chen-I","Hsu, Chen-I","Huang,Wan- Lin",IR manager,DEC 31,PricewaterhouseCoopers Taiwan,"Wang, Sung Tse","Yu, Shu Fen","7F.-1, No.176, Jian 1st Rd., Zhonghe Dist., New Taipei City 235, Taiwan (R.O.C.)",(02)8227-1280,(02)8227-1290,IR@ttfb.com,http://www.ttfb.com,"Huang,Wan- Lin",IR manager,(02)2248-1022,IR@ttfb.com
TPEx Listed Company,2732,"La Kaffa International Co., LTD.",－,Tourism and Hospitality,La Kaffa,2015/01/20,Wang Yao Hui,Wang Yao Hui,Tammy Hsieh,Investor Manager,DEC 31,Deloitte & Touche,"LIU,YI-CHING","CHANG,CHENG-HSIU","No.98, Gaotie 9th Rd., Zhubei City, Hsinchu County 302, Taiwan",(03)550-7750,03-6579630,lakaffamail@lakaffa.com.tw,http://www.lakaffagroup.com/,Tammy Hsieh,Investor Manager,03-5507750,tammy.hsieh@lakaffa.com.tw
TPEx Listed Company,2734,"Ezfly International Travel Agent Co., Ltd.",－,Tourism and Hospitality,Ezfly,2013/12/26,Chou Yun Sheng,Chou Yun Sheng,Chou Yun Sheng,President,DEC 31,KPMG,"SU,YU-SIOU","PENG,SHIH-SYUAN","2F-1, No.51, Hengyang Rd., Taipei, Taiwan",(02)7725-0800,(02)6601-4600,invest@ezfly.com,https://www.ezfly.com/,karen Ho,senior manager,02-77250800,invest@ezfly.com
TPEx Listed Company,2736,HOYA Resort Hotel Group,－,Tourism and Hospitality,HOYA,2016/01/06,LIU CHING LANG,MAX SHIH,LIU YI CHUN,Special Assistant,DEC 31,KPMG,CHEN YUNG HSIANG,Vincent Hsu,"5F.-41, No.30-2, Longquan Rd.,Wen-Chung Ts'un, Beinan Township, Taitung County , Taiwan (R.O.C.)",089-515005,089-350125,pr@hoyaresort.com.tw,http://www.hoyaresort.com.tw,ANDY HUANG,Marcom/PR Manger,0936806617,andy@hoyaresort.com.tw
TPEx Listed Company,2740,"Mr. Onion International Co., Ltd",－,Tourism and Hospitality,Mr. Onion,2015/12/24,Chu. Fu-Lin,Chu. Fu-Lin,Carter Hong,Head of Finance and Accounting,DEC 31,KPMG,Geraltine Huang,Leo Chi,"10F., No. 42, Guanqian Rd., Chung Cheng Dist., Taipei City , Taiwan Taipei City 100, Taiwan (R.O.C.)",(02)2313-1260,(02)2313-1261,pr@mr-onion.com,http://www.mr-onion.com,Irene Lee,Stock Affair,(02)2313-1260#102,irene.lee@mr-onion.com
TPEx Listed Company,2743,"Richmond International Travel & Tours Co.,Ltd",－,Tourism and Hospitality,richmond,2020/03/09,Chico K.S Chen,Richi Chen,James Lee,Director of Sales Department,DEC 31,Baker Tilly Clock & Co,"TSENG, KUO-FU","LAI, CHIA-YU","4F., No.85, Sec. 2, Nanjing E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25612999,02-2536-1332,rit@richmond.com.tw,https://www.travel4u.com.tw/,James Lee,Director of Sales Department,02-77349628,james@richmond.com.tw
TPEx Listed Company,2745,"LIFE TRAVEL & TOURIST SERVICE CO., LTD.",－,Tourism and Hospitality,LIFE TRAVEL,2018/04/16,"HSU,SHUN-FU","WANG,CHE-YEN",Chien Wei ming,Vice General Manager,DEC 31,Deloitte & Touche,Chang Tzu Yuan,Wang Teng Wei,"2,3F,No.28 Bo'ai 1st Rd., Sanmin Dist., Kaohsiung City 80757,Taiwan Kaohsiung City ,Taiwan",07-3231166,07-3230248,ir@lifetour.com.tw,www.lifetour.com.tw,Chien Wei ming,Vice General Manager,02-27182202,ir@lifetour.com.tw
TPEx Listed Company,2751,"Kingza International CO.,LTD.",－,Tourism and Hospitality,Kingza,2024/09/10,"WANG,YAO-HUI","LIN,TZU-HENG","LIN,TZU-HENG",General Manager,DEC 31,Deloitte&Touche,"LIU,YI-QING","CHANG,CHENG-HSIU","4F.-2, No. 51, Sec. 2, Keelung Rd., Xinyi Dist., Taipei City 10052, Taiwan",02-23773088,02-23773089,kingzamail@kingza.com.tw,www.kingza.com.tw,"LIN,TZU-HENG",General Manager,02-23773088,kingzamail@kingza.com.tw
TPEx Listed Company,2752,"Tofu Restaurant Co., Ltd.",－,Tourism and Hospitality,TOFU,2019/09/25,"Wu, Po-Hsun","Wu, Meng-Che","Su,Fan-Chun",Chief Financial Officer,DEC 31,Deloitte & Touche,Ya-Yun Chang,Cheng-Chih Lin,"4F., No.42, Sec. 2, Minquan E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",(02)2581-3818,(02)2581-3918,@dubuhouse.com.tw,https://www.tofuglobal.com/tw/home.html,"Su,Fan-Chun",Chief Financial Officer,(02)2581-3818,tofu.ir@dubuhouse.com.tw
TPEx Listed Company,2754,"KURA SUSHI ASIA CO., LTD.",－,Tourism and Hospitality,KURA SUSHI ASIA,2020/09/17,KENTARO NISHIKAWA,KENTARO NISHIKAWA,Nojima Shigeru,CFO,DEC 31,Deloitte&Touche,"Chun Ming, Hsueh","Sheng Hsiung, Yao","6F.&6F-1, No. 32, Sec. 3, Zhongshan N. Rd. Taipei City 104, Taiwan (R.O.C.)",(02)8978-8558,(02)2598-3077,ir@kurasushi.tw,http://investor.kurasushi.tw/,Nojima Shigeru,CFO,(02)8978-8558,ir@kurasushi.tw
TPEx Listed Company,2755,"YoungQin International Co., Ltd.",－,Tourism and Hospitality,YoungQin,2020/12/16,"CHOU,CHING-LUN","LIN,LI-LING","TSAI, KUO-HSIEN",Director,DEC 31,Deloitte Touche Tohmatsu Limited,CHEN YEN CHUN,"CHANG,CHING-HSIA","NO. 16, Hejiang Rd Zhongli Dist., Taoyuan City 320, Taiwan",033412298,034627781,IR@youngqin.com.tw,http://www.youngqin.com.tw,Huang Hsu-Kuei,Vice President,03-2737375,IR@youngqin.com.tw
TPEx Listed Company,2756,LIAN FA INTERNATIONAL DINING BUSINESS CORP.,－,Tourism and Hospitality,LIAN FA,2022/01/14,"Cheng, Kai-Lung","Liu, Ching-Lun","Chen, Sheng-Chung",General Manager of IB Division,DEC 31,Deloitte,Chih Jui Chuan,Kuo Nai Hua,"18F-7, No. 95, Sec. 1, Xintai 5th Rd. Xizhi Dist., New Taipei City, Taiwan",(02)2654-8585,(02)2783-2669,irr@1992sharetea.com,http://www.1992lianfa.com/,"Chen, Sheng Chung",IR Spokesman,(02)2654-8585,irr@1992sharetea.com
TPEx Listed Company,2916,MUNSIN GARMENT CORPORATION,－,Household,MUNSIN,2005/03/10,Li Chiun Liang,GOTO KENJI,Kuo Chien Lung,Vice General Manager,DEC 31,KPMG International Cooperative,"Chen,Yi-Chun","Hsu,Shu-Min","NO.18, WU-CHUAN 6 RD., WU-GU DIST, NEW TAIPEI CITY, TAIWAN, R.O.C.",02-22997755,02-22997765,munsin@ms7.hinet.net,www.munsin.com.tw,Kuo Chien Lung,Vice General Manager,02-22997755,simba@munsin.com.tw
